,0
0,2
1,1
2,4
3,8
4,5
5,1
6,7
7,0
8,4
9,6
10,3
11,0
12,8
13,9
14,5
15,9
16,5
17,1
18,9
19,1
20,1
21,1
22,9
23,8
24,7
25,2
26,5
27,4
28,7
29,7
30,8
31,3
32,7
33,4
34,2
35,7
36,0
37,7
38,3
39,0
40,3
41,1
42,8
43,4
44,1
45,8
46,7
47,6
48,3
49,4
50,8
51,5
52,4
53,1
54,8
55,0
56,1
57,7
58,4
59,8
60,0
61,6
62,7
63,1
64,3
65,6
66,5
67,9
68,6
69,0
70,6
71,3
72,7
73,1
74,8
75,5
76,4
77,3
78,0
79,4
80,2
81,2
82,2
83,7
84,3
85,2
86,4
87,9
88,5
89,8
90,9
91,8
92,1
93,4
94,8
95,9
96,1
97,0
98,8
99,0
100,1
101,7
102,6
103,6
104,6
105,6
106,5
107,0
108,7
109,7
110,0
111,5
112,2
113,0
114,3
115,9
116,2
117,9
118,5
119,3
120,8
121,6
122,5
123,9
124,3
125,3
126,0
127,2
128,8
129,6
130,9
131,9
132,3
133,3
134,5
135,4
136,2
137,9
138,4
139,7
140,8
141,6
142,7
143,6
144,8
145,8
146,2
147,3
148,7
149,7
150,8
151,8
152,3
153,2
154,7
155,8
156,2
157,1
158,0
159,2
160,0
161,1
162,3
163,4
164,0
165,1
166,3
167,4
168,4
169,0
170,7
171,9
172,5
173,1
174,5
175,1
176,6
177,9
178,1
179,3
180,7
181,3
182,6
183,9
184,7
185,9
186,3
187,4
188,7
189,6
190,6
191,9
192,2
193,8
194,9
195,5
196,0
197,0
198,3
199,6
200,6
201,6
202,5
203,0
204,9
205,7
206,5
207,1
208,3
209,4
210,2
211,2
212,3
213,6
214,4
215,0
216,0
217,2
218,2
219,9
220,6
221,2
222,8
223,5
224,0
225,6
226,7
227,4
228,3
229,5
230,6
231,4
232,7
233,5
234,9
235,2
236,1
237,7
238,9
239,7
240,9
241,6
242,6
243,7
244,4
245,8
246,2
247,2
248,0
249,4
250,8
251,9
252,1
253,6
254,3
255,2
256,6
257,5
258,5
259,2
260,6
261,2
262,8
263,9
264,8
265,1
266,0
267,0
268,1
269,5
270,1
271,9
272,6
273,2
274,8
275,7
276,4
277,7
278,4
279,3
280,3
281,5
282,1
283,9
284,6
285,7
286,7
287,4
288,9
289,9
290,1
291,7
292,3
293,0
294,1
295,1
296,1
297,7
298,2
299,6
300,8
301,2
302,1
303,2
304,2
305,3
306,3
307,0
308,1
309,7
310,2
311,5
312,6
313,3
314,4
315,7
316,7
317,4
318,6
319,5
320,2
321,1
322,4
323,1
324,9
325,9
326,1
327,3
328,6
329,4
330,6
331,6
332,8
333,1
334,8
335,9
336,6
337,3
338,8
339,3
340,2
341,2
342,0
343,1
344,8
345,1
346,0
347,3
348,4
349,6
350,6
351,4
352,9
353,7
354,4
355,9
356,7
357,7
358,4
359,5
360,7
361,5
362,0
363,7
364,8
365,5
366,0
367,6
368,2
369,9
370,7
371,1
372,2
373,8
374,7
375,1
376,2
377,9
378,7
379,0
380,1
381,2
382,7
383,1
384,9
385,2
386,9
387,7
388,4
389,8
390,3
391,0
392,6
393,9
394,0
395,0
396,9
397,3
398,7
399,9
400,9
401,3
402,5
403,9
404,3
405,1
406,4
407,6
408,1
409,8
410,7
411,7
412,2
413,6
414,7
415,0
416,3
417,7
418,1
419,7
420,1
421,1
422,5
423,7
424,2
425,8
426,6
427,2
428,4
429,9
430,3
431,5
432,4
433,4
434,9
435,7
436,1
437,2
438,1
439,7
440,4
441,5
442,7
443,4
444,0
445,7
446,1
447,7
448,5
449,1
450,7
451,8
452,9
453,9
454,1
455,4
456,1
457,2
458,2
459,2
460,5
461,7
462,0
463,8
464,8
465,4
466,1
467,9
468,0
469,9
470,0
471,8
472,9
473,9
474,0
475,7
476,6
477,5
478,8
479,3
480,6
481,4
482,9
483,8
484,5
485,5
486,9
487,1
488,9
489,6
490,2
491,0
492,2
493,3
494,5
495,5
496,1
497,3
498,5
499,4
500,0
501,2
502,0
503,3
504,6
505,8
506,3
507,7
508,7
509,6
510,7
511,8
512,6
513,9
514,9
515,5
516,1
517,2
518,1
519,7
520,7
521,7
522,6
523,7
524,2
525,9
526,3
527,1
528,7
529,3
530,3
531,2
532,6
533,3
534,1
535,2
536,6
537,3
538,4
539,3
540,7
541,2
542,2
543,5
544,3
545,2
546,2
547,0
548,1
549,9
550,4
551,6
552,4
553,8
554,0
555,8
556,6
557,3
558,3
559,9
560,1
561,6
562,9
563,3
564,1
565,7
566,6
567,3
568,5
569,1
570,7
571,2
572,6
573,9
574,2
575,4
576,7
577,4
578,2
579,7
580,3
581,0
582,3
583,5
584,2
585,3
586,8
587,3
588,1
589,6
590,4
591,1
592,5
593,3
594,8
595,9
596,7
597,9
598,5
599,3
600,9
601,5
602,3
603,6
604,8
605,7
606,9
607,2
608,7
609,3
610,4
611,7
612,0
613,0
614,5
615,4
616,1
617,9
618,9
619,3
620,9
621,2
622,7
623,9
624,9
625,0
626,1
627,7
628,6
629,8
630,6
631,2
632,1
633,1
634,1
635,8
636,9
637,2
638,1
639,6
640,8
641,2
642,8
643,7
644,3
645,9
646,2
647,7
648,0
649,2
650,6
651,9
652,9
653,9
654,5
655,6
656,6
657,4
658,4
659,9
660,9
661,1
662,4
663,6
664,0
665,5
666,1
667,7
668,8
669,8
670,8
671,7
672,1
673,5
674,1
675,9
676,9
677,8
678,0
679,6
680,3
681,5
682,7
683,1
684,2
685,3
686,9
687,6
688,0
689,2
690,9
691,4
692,8
693,4
694,6
695,0
696,4
697,0
698,9
699,1
700,5
701,4
702,1
703,2
704,1
705,1
706,9
707,4
708,0
709,2
710,1
711,6
712,4
713,2
714,7
715,5
716,4
717,6
718,5
719,1
720,1
721,1
722,6
723,9
724,6
725,0
726,2
727,4
728,7
729,5
730,9
731,6
